X,Y,name,elevation
-74.0517809541,4.6600777874,365 Embajada de Italia,2610.1
-74.0409636681,4.6753000062,344 Museo El Chicó,2611.9
-74.0378459904,4.6800862688,163 Escuela de caballería,2601.3
-74.0419043403,4.6740551958,343 Seminario Canciller de Bogotá,2621.6
-74.0651882549,4.6478923783,686 Estación cl 63,2599
-74.0647308086,4.6505388936,685 Av cl 63,2595.7
-74.0637730452,4.6539924866,684 La Esperanza,2593.7
-74.0626674643,4.6564123284,683 Concepción norte,2590.9
-74.0622166475,4.6587545704,682 Estación cl 72,2587.7
-74.0617170481,4.6615868574,681 San Felipe,2589.3
-74.0674492641,4.6352122391,691 Palermo,2602.7
-74.067101918,4.6371440809,690 Estación marly,2600.9
-74.066584084,4.6399862892,689 Quesada,2599.9
-74.0661786618,4.6424644452,688 Estación cl 57,2596.3
-74.0656959743,4.6450840216,687 IED Manuela Beltrán,2592
-74.060205444,4.6671308866,754 Estación héroes,2586.3
-74.061045329,4.6631711471,707 Estación cl 76,2593.2
-74.0614051445,4.6611787006,706 Porciúncula,2597.2
-74.0618614933,4.6583795641,705 Estación cl 72,2602.1
-74.0623005007,4.6560577506,704 Quinta Camacho,2600.4
-74.0634778686,4.6535958073,703 Chapinero norte,2598.1
-74.0642991183,4.6503122624,702 Chapinero norte,2596
-74.0648214419,4.6475957714,701 Estación cl 63,2592.4
-74.0653576414,4.6445516318,700 Chapinero central,2589.6
-74.0658883743,4.6416750464,699 Secretaría general de ambiente,2594.4
-74.0663355567,4.638986368,698 SENA Centro de gestión de mercados,2599.5
-74.0668354626,4.6361684979,697 Marly,2601.5
-74.067163195,4.6342532769,696 U Católica de Colombia,2604.5
-74.0624330107,4.6522430508,650 SENA,2600.7
-74.0725999698,4.6612654952,329,2586.8
-74.0659984667,4.6566748107,327,2596.2
-74.0764709841,4.6560342237,574 Benjamín Herrera,2578.4
-74.0755540039,4.6586574242,576 La Paz,2578.7
-74.0742960479,4.6604525764,NN Alcázares,2581.9
-74.0728619043,4.6624972159,NN Alcázares,2579.8
-74.0707262792,4.6654336061,NN Alcázares,2578.3
-74.0604304667,4.6482378213,046 Cra 8,2595.5
-74.0636080605,4.651114049,NYC,2601.3
-74.0542261675,4.6478318609,569 Granada,2665.7
-74.0536689635,4.6467900587,571 Colegio Rosario Santo Domingo,2653.8
-74.054340917,4.6464891024,570 Cra 1,2631.4
-74.0568114149,4.6470906567,564 CAI Granada,2609.9
-74.0718522399,4.6341116247,NN Palermo,2587.8
-74.0729737359,4.636467922,NN Palermo,2586.9
